id,main,description,icon,base,visibility,dt,timezone,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,filler_0,filler_1,filler_2,main.sea_level,main.grnd_level,wind.gust,snow.1h,message,filler_3,filler_4,filler_5,filler_6,filler_7,filler_8,filler_9,filler_10,filler_11,filler_12,filler_13,filler_14,filler_15,filler_16,filler_17,filler_18,filler_19,filler_20,filler_21,filler_22,filler_23,filler_24,filler_25,filler_26,rain.1h
56,601.0,Snow,snow,13n,stations,125.0,1608737781.0,39600.0,Cherskiy,200,161.3,68.75,-477.82119999999986,244.32,-10.08399999999994,-10.08399999999994,1001.0,90.0,2.46,348.0,100.0,,,RU,0.0,0.0,,,,1001.0,1001.0,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,
57,800.0,Clear,clear sky,01n,stations,10000.0,1608737781.0,25200.0,Talnakh,200,88.4,69.49,-534.9099999999999,227.49,-41.799999999999955,-41.799999999999955,1022.0,64.0,1.0,230.0,0.0,1.0,8951.0,RU,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,800.0,Clear,clear sky,01n,stations,10000.0,1608737782.0,39600.0,Vao,200,167.48,-22.67,-323.6619999999998,299.47,75.56000000000009,75.56000000000009,1009.0,74.0,1.76,107.0,3.0,,,NC,1608746631.0,1608795313.0,,,,1009.0,1003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,804.0,Clouds,overcast clouds,04d,stations,10000.0,1608737665.0,-10800.0,Ancud,200,-73.82,-41.87,-354.1827999999999,284.42,48.992,69.00800000000001,1015.0,67.0,4.6,340.0,90.0,1.0,8512.0,CL,1608715072.0,1608769876.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,800.0,Clear,clear sky,01d,stations,10000.0,1608737668.0,-18000.0,Somerset,200,-74.55,40.57,-388.36479999999995,274.09,37.99400000000007,41.0,1029.0,48.0,0.86,243.0,1.0,1.0,5874.0,US,1608725969.0,1608759331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,803.0,Clouds,broken clouds,04n,stations,10000.0,1608737782.0,32400.0,Sukumo,200,132.73,32.93,-377.3488,278.07,45.733999999999995,45.733999999999995,1021.0,61.0,1.16,65.0,69.0,,,JP,1608761356.0,1608797274.0,,,,1021.0,1012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,501.0,Rain,moderate rain,10d,stations,10000.0,1608737783.0,3600.0,Uíge,200,15.06,-7.61,-322.72239999999994,302.27,76.08200000000002,76.08200000000002,1008.0,91.0,0.82,270.0,65.0,,,AO,1608698520.0,1608743752.0,,,,1008.0,918.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17
63,802.0,Clouds,scattered clouds,03n,stations,10000.0,1608737783.0,25200.0,Teya,200,92.63,60.38,-518.4507999999998,232.7,-32.65599999999998,-32.65599999999998,1025.0,79.0,0.86,157.0,48.0,,,RU,1608692172.0,1608712854.0,,,,1025.0,996.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,521.0,Rain,shower rain,09d,stations,10000.0,1608737784.0,-10800.0,Ushuaia,200,-68.3,-54.8,-356.71,277.75,57.2,57.2,977.0,41.0,10.8,320.0,75.0,1.0,8303.0,AR,1608709971.0,1608772327.0,,,,,,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51
65,803.0,Clouds,broken clouds,04n,stations,10000.0,1608737710.0,3600.0,Longyearbyen,200,15.64,78.22,-395.59,267.02,35.6,35.6,1010.0,69.0,8.2,100.0,75.0,1.0,1663.0,SJ,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
